ANCLA,RSSI,Departamento,Habitacion,Piso
5,179,As,1,1
4,163,As,1,1
3,164,As,1,1
2,186,As,1,1
1,173,As,1,1
5,179,As,1,1
4,163,As,1,1
3,164,As,1,1
2,186,As,1,1
1,174,As,1,1
5,183,As,1,1
4,163,As,1,1
3,163,As,1,1
2,187,As,1,1
1,173,As,1,1
5,179,As,1,1
5,180,As,1,1
4,163,As,1,1
3,164,As,1,1
2,186,As,1,1
1,174,As,1,1
5,183,As,1,1
4,163,As,1,1
3,164,As,1,1
2,187,As,1,1
1,174,As,1,1
5,178,As,1,1
4,163,As,1,1
3,164,As,1,1
2,187,As,1,1
1,173,As,1,1
5,180,As,1,1
4,164,As,1,1
3,165,As,1,1
2,187,As,1,1
1,173,As,1,1
5,178,As,1,1
4,163,As,1,1
3,164,As,1,1
2,186,As,1,1
1,173,As,1,1
5,176,As,1,1
5,180,As,1,1
4,163,As,1,1
4,163,As,1,1
3,164,As,1,1
2,186,As,1,1
1,173,As,1,1
5,180,As,1,1
4,164,As,1,1
3,165,As,1,1
2,187,As,1,1
5,175,As,1,1
4,163,As,1,1
3,164,As,1,1
2,187,As,1,1
1,173,As,1,1
5,182,As,1,1
4,163,As,1,1
3,165,As,1,1
2,187,As,1,1
5,168,As,1,1
5,178,As,1,1
4,166,As,1,1
3,166,As,1,1
2,187,As,1,1
5,176,As,1,1
5,179,As,1,1
5,177,As,1,1
1,173,As,1,1
5,183,As,1,1
5,184,As,1,1
5,181,As,1,1
5,174,As,1,1
4,165,As,1,1
3,165,As,1,1
2,186,As,1,1
5,164,As,1,1
4,164,As,1,1
3,165,As,1,1
2,186,As,1,1
5,180,As,1,1
5,180,As,1,1
1,173,As,1,1
5,177,As,1,1
4,164,As,1,1
4,163,As,1,1
2,187,As,2,1
1,173,As,2,1
5,182,As,2,1
4,163,As,2,1
3,163,As,2,1
2,187,As,2,1
1,173,As,2,1
5,172,As,2,1
4,164,As,2,1
3,164,As,2,1
2,186,As,2,1
1,173,As,2,1
5,183,As,2,1
4,164,As,2,1
3,164,As,2,1
2,187,As,2,1
1,172,As,2,1
5,181,As,2,1
4,163,As,2,1
3,164,As,2,1
2,187,As,2,1
1,173,As,2,1
5,185,As,2,1
4,163,As,2,1
3,165,As,2,1
2,186,As,2,1
1,173,As,2,1
5,184,As,2,1
4,163,As,2,1
3,164,As,2,1
2,183,As,2,1
2,183,As,2,1
2,175,As,2,1
2,179,As,2,1
5,184,As,2,1
5,179,As,2,1
2,184,As,2,1
2,185,As,2,1
2,181,As,2,1
1,167,As,2,1
2,179,As,2,1
5,185,As,2,1
5,178,As,2,1
2,170,As,2,1
2,167,As,2,1
2,171,As,2,1
2,177,As,2,1
5,182,As,2,1
5,180,As,2,1
5,181,As,2,1
5,181,As,2,1
5,184,As,2,1
5,182,As,2,1
5,184,As,2,1
5,178,As,2,1
5,180,As,2,1
5,181,As,2,1
5,184,As,2,1
4,162,As,2,1
3,162,As,2,1
2,187,As,2,1
1,165,As,2,1
5,179,As,2,1
5,178,As,2,1
5,180,As,2,1
5,183,As,2,1
5,182,As,2,1
5,181,As,2,1
5,181,As,2,1
1,164,As,2,1
5,180,As,2,1
5,177,As,2,1
5,183,As,2,1
5,180,As,2,1
5,181,As,2,1
5,178,As,2,1
5,176,As,2,1
5,177,As,2,1
5,179,As,2,1
5,181,As,2,1
5,178,As,2,1
5,179,As,2,1
5,176,As,2,1
5,180,As,2,1
5,177,As,2,1
5,181,As,2,1
5,182,As,2,1
5,180,As,2,1
5,175,As,2,1
5,180,As,2,1
5,183,As,2,1
5,175,As,2,1
5,181,As,2,1
5,180,As,2,1
5,173,As,2,1
1,164,As,2,1
1,164,As,2,1
1,164,As,2,1
5,174,As,2,1
5,180,As,2,1
5,179,As,2,1
5,179,As,2,1
5,180,As,2,1
5,179,As,2,1
5,178,As,2,1
5,173,As,2,1
5,178,As,2,1
5,177,As,2,1
5,178,As,2,1
5,178,As,2,1
5,179,As,2,1
5,179,As,2,1
5,178,As,2,1
5,180,As,2,1
5,180,As,2,1
5,179,As,2,1
5,176,As,2,1
5,178,As,2,1
5,179,As,2,1
5,179,As,2,1
5,179,As,2,1
5,179,As,2,1
